ID,class
0,3
1,8
2,0
3,3
4,6
5,0
6,3
7,2
8,4
9,0
10,7
11,2
12,1
13,3
14,9
15,8
16,5
17,1
18,8
19,9
20,9
21,0
22,1
23,3
24,2
25,7
26,9
27,1
28,0
29,4
30,3
31,3
32,8
33,4
34,9
35,1
36,5
37,7
38,7
39,4
40,5
41,1
42,1
43,6
44,2
45,3
46,6
47,4
48,3
49,9
50,6
51,6
52,5
53,6
54,1
55,4
56,8
57,0
58,7
59,7
60,6
61,6
62,3
63,4
64,3
65,1
66,0
67,5
68,4
69,5
70,1
71,2
72,5
73,8
74,6
75,4
76,2
77,4
78,1
79,8
80,5
81,5
82,1
83,3
84,1
85,6
86,5
87,7
88,4
89,7
90,2
91,7
92,1
93,1
94,9
95,5
96,2
97,8
98,5
99,1
100,6
101,2
102,1
103,0
104,0
105,3
106,8
107,8
108,4
109,2
110,7
111,1
112,1
113,6
114,0
115,1
116,1
117,4
118,9
119,4
120,2
121,1
122,5
123,6
124,1
125,2
126,3
127,6
128,6
129,7
130,6
131,1
132,0
133,3
134,8
135,9
136,5
137,9
138,7
139,3
140,6
141,6
142,0
143,4
144,8
145,6
146,2
147,6
148,4
149,6
150,7
151,4
152,7
153,3
154,1
155,1
156,6
157,3
158,1
159,8
160,8
161,8
162,0
163,4
164,9
165,5
166,2
167,1
168,8
169,0
170,4
171,4
172,6
173,0
174,1
175,8
176,4
177,4
178,1
179,5
180,5
181,3
182,6
183,2
184,3
185,9
186,9
187,9
188,1
189,3
190,7
191,0
192,3
193,6
194,5
195,5
196,8
197,7
198,1
199,5
200,5
201,3
202,9
203,2
204,0
205,1
206,5
207,5
208,6
209,8
210,5
211,8
212,1
213,5
214,5
215,8
216,2
217,3
218,3
219,3
220,8
221,5
222,7
223,6
224,1
225,4
226,4
227,5
228,3
229,4
230,9
231,1
232,5
233,3
234,1
235,4
236,6
237,2
238,4
239,6
240,6
241,0
242,4
243,5
244,9
245,6
246,6
247,4
248,1
249,4
250,4
251,4
252,0
253,8
254,3
255,3
256,4
257,2
258,2
259,0
260,2
261,0
262,6
263,3
264,5
265,8
266,5
267,9
268,6
269,8
270,9
271,1
272,3
273,7
274,0
275,5
276,9
277,1
278,1
279,4
280,9
281,9
282,3
283,0
284,9
285,6
286,2
287,4
288,2
289,4
290,8
291,5
292,5
293,1
294,5
295,8
296,4
297,2
298,8
299,1
300,1
301,8
302,7
303,1
304,8
305,4
306,2
307,6
308,0
309,3
310,3
311,7
312,0
313,3
314,4
315,2
316,3
317,5
318,5
319,3
320,1
321,6
322,2
323,9
324,6
325,4
326,6
327,7
328,2
329,4
330,5
331,7
332,6
333,4
334,4
335,3
336,0
337,2
338,1
339,0
340,7
341,4
342,8
343,7
344,3
345,9
346,5
347,3
348,4
349,9
350,5
351,1
352,2
353,0
354,9
355,0
356,5
357,3
358,4
359,3
360,0
361,4
362,3
363,8
364,2
365,3
366,9
367,1
368,3
369,3
370,4
371,5
372,6
373,5
374,1
375,9
376,3
377,9
378,9
379,6
380,2
381,3
382,1
383,0
384,0
385,7
386,1
387,1
388,1
389,5
390,6
391,3
392,9
393,0
394,3
395,7
396,8
397,5
398,2
399,7
400,1
401,4
402,6
403,5
404,0
405,3
406,8
407,5
408,8
409,6
410,6
411,8
412,0
413,9
414,6
415,4
416,8
417,1
418,1
419,9
420,8
421,2
422,5
423,9
424,6
425,8
426,3
427,5
428,8
429,3
430,0
431,6
432,5
433,3
434,9
435,5
436,0
437,7
438,9
439,7
440,7
441,4
442,1
443,3
444,7
445,1
446,4
447,0
448,3
449,5
450,2
451,1
452,1
453,6
454,9
455,3
456,3
457,3
458,3
459,9
460,9
461,0
462,1
463,3
464,3
465,2
466,0
467,4
468,8
469,8
470,9
471,0
472,8
473,3
474,4
475,6
476,7
477,1
478,6
479,6
480,1
481,0
482,3
483,4
484,8
485,5
486,9
487,6
488,6
489,5
490,0
491,1
492,3
493,8
494,0
495,0
496,4
497,6
498,7
499,1
500,5
501,6
502,9
503,5
504,5
505,4
506,3
507,3
508,2
509,2
510,8
511,9
512,8
513,3
514,0
515,8
516,3
517,3
518,3
519,3
520,5
521,3
522,2
523,5
524,9
525,5
526,6
527,6
528,4
529,6
530,4
531,5
532,8
533,5
534,5
535,9
536,6
537,7
538,7
539,4
540,4
541,3
542,6
543,3
544,6
545,7
546,9
547,1
548,8
549,6
550,9
551,1
552,5
553,1
554,9
555,5
556,6
557,9
558,6
559,5
560,1
561,6
562,7
563,5
564,6
565,5
566,9
567,9
568,2
569,8
570,3
571,8
572,0
573,3
574,4
575,3
576,0
577,2
578,0
579,4
580,1
581,7
582,5
583,3
584,3
585,3
586,4
587,3
588,5
589,5
590,4
591,8
592,9
593,6
594,4
595,1
596,1
597,2
598,4
599,6
600,8
601,0
602,0
603,3
604,9
605,0
606,4
607,8
608,5
609,3
610,4
611,8
612,2
613,5
614,4
615,5
616,3
617,6
618,5
619,2
620,1
621,5
622,0
623,5
624,5
625,7
626,3
627,5
628,9
629,3
630,6
631,9
632,1
633,0
634,1
635,8
636,2
637,8
638,9
639,3
640,1
641,9
642,2
643,4
644,5
645,1
646,9
647,3
648,8
649,6
650,4
651,7
652,5
653,0
654,5
655,2
656,8
657,5
658,5
659,5
660,8
661,4
662,3
663,7
664,3
665,6
666,1
667,4
668,6
669,8
670,9
671,8
672,5
673,5
674,4
675,1
676,1
677,6
678,9
679,3
680,3
681,8
682,1
683,3
684,8
685,0
686,7
687,5
688,2
689,4
690,1
691,8
692,3
693,7
694,8
695,8
696,9
697,5
698,7
699,0
700,9
701,2
702,7
703,3
704,3
705,0
706,5
707,0
708,4
709,3
710,6
711,8
712,9
713,2
714,2
715,5
716,3
717,7
718,8
719,0
720,5
721,3
722,9
723,3
724,2
725,6
726,1
727,3
728,1
729,7
730,3
731,4
732,0
733,1
734,1
735,3
736,3
737,4
738,3
739,6
740,8
741,5
742,4
743,3
744,2
745,4
746,2
747,5
748,7
749,6
750,3
751,2
752,6
753,7
754,6
755,0
756,0
757,2
758,8
759,6
760,3
761,8
762,6
763,8
764,3
765,6
766,3
767,4
768,5
769,5
770,3
771,3
772,4
773,9
774,2
775,6
776,0
777,1
778,5
779,8
780,3
781,1
782,9
783,3
784,4
785,9
786,5
787,4
788,1
789,8
790,3
791,1
792,7
793,4
794,3
795,5
796,9
797,3
798,8
799,1
800,7
801,7
802,5
803,3
804,7
805,4
806,4
807,7
808,4
809,2
810,4
811,8
812,9
813,5
814,6
815,3
816,3
817,4
818,2
819,6
820,8
821,1
822,3
823,0
824,9
825,3
826,5
827,6
828,6
829,7
830,0
831,5
832,8
833,4
834,6
835,5
836,1
837,2
838,9
839,5
840,4
841,1
842,3
843,1
844,3
845,1
846,8
847,8
848,9
849,0
850,7
851,3
852,4
853,4
854,8
855,3
856,6
857,3
858,6
859,7
860,9
861,2
862,1
863,8
864,7
865,8
866,1
867,4
868,9
869,3
870,6
871,4
872,2
873,1
874,2
875,3
876,6
877,9
878,4
879,5
880,1
881,6
882,6
883,1
884,0
885,3
886,5
887,5
888,9
889,1
890,1
891,3
892,0
893,0
894,3
895,6
896,3
897,0
898,1
899,9
900,0
901,0
902,1
903,1
904,6
905,5
906,4
907,3
908,6
909,6
910,5
911,4
912,1
913,6
914,7
915,5
916,5
917,2
918,2
919,1
920,4
921,5
922,2
923,5
924,0
925,4
926,9
927,4
928,7
929,6
930,8
931,8
932,5
933,6
934,2
935,2
936,1
937,9
938,7
939,1
940,0
941,3
942,8
943,4
944,6
945,8
946,6
947,6
948,9
949,3
950,3
951,5
952,3
953,7
954,6
955,0
956,4
957,1
958,3
959,9
960,5
961,5
962,9
963,1
964,1
965,0
966,1
967,5
968,2
969,5
970,3
971,5
972,8
973,1
974,9
975,8
976,2
977,7
978,6
979,3
980,6
981,2
982,3
983,7
984,4
985,1
986,4
987,7
988,6
989,9
990,7
991,9
992,1
993,6
994,3
995,5
996,1
997,7
998,1
999,6
1000,3
1001,6
1002,6
1003,5
1004,0
1005,5
1006,3
1007,5
1008,1
1009,5
1010,7
1011,1
1012,7
1013,7
1014,0
1015,4
1016,5
1017,9
1018,6
1019,2
1020,2
1021,1
1022,7
1023,3
1024,3
1025,5
1026,3
1027,1
1028,9
1029,8
1030,0
1031,8
1032,9
1033,3
1034,9
1035,1
1036,0
1037,1
1038,6
1039,8
1040,2
1041,6
1042,3
1043,9
1044,3
1045,0
1046,3
1047,1
1048,6
1049,5
1050,6
1051,7
1052,7
1053,9
1054,3
1055,1
1056,9
1057,3
1058,3
1059,8
1060,3
1061,2
1062,5
1063,8
1064,6
1065,8
1066,6
1067,1
1068,9
1069,6
1070,6
1071,6
1072,3
1073,1
1074,5
1075,3
1076,1
1077,4
1078,8
1079,9
1080,1
1081,4
1082,4
1083,1
1084,1
1085,9
1086,5
1087,7
1088,9
1089,1
1090,6
1091,8
1092,9
1093,4
1094,5
1095,8
1096,4
1097,3
1098,8
1099,8
1100,8
1101,7
1102,5
1103,5
1104,3
1105,4
1106,2
1107,1
1108,1
1109,5
1110,3
1111,4
1112,3
1113,8
1114,0
1115,4
1116,2
1117,0
1118,8
1119,5
1120,8
1121,5
1122,6
1123,3
1124,3
1125,2
1126,1
1127,9
1128,3
1129,1
1130,3
1131,5
1132,7
1133,2
1134,4
1135,8
1136,4
1137,4
1138,8
1139,4
1140,6
1141,3
1142,7
1143,6
1144,8
1145,5
1146,5
1147,6
1148,0
1149,3
1150,2
1151,4
1152,8
1153,9
1154,7
1155,7
1156,9
1157,2
1158,3
1159,7
1160,6
1161,9
1162,4
1163,5
1164,7
1165,4
1166,0
1167,1
1168,1
1169,8
1170,9
1171,1
1172,0
1173,3
1174,1
1175,3
1176,6
1177,0
1178,4
1179,9
1180,1
1181,1
1182,0
1183,8
1184,9
1185,2
1186,9
1187,1
1188,2
1189,9
1190,4
1191,2
1192,2
1193,2
1194,1
1195,8
1196,5
1197,5
1198,3
1199,0
1200,3
1201,6
1202,3
1203,6
