ID,class
0,3
1,8
2,0
3,7
4,6
5,0
6,3
7,0
8,4
9,0
10,7
11,2
12,1
13,3
14,9
15,8
16,5
17,1
18,8
19,9
20,9
21,0
22,9
23,9
24,2
25,7
26,8
27,9
28,0
29,4
30,7
31,3
32,1
33,4
34,9
35,2
36,5
37,7
38,7
39,4
40,3
41,1
42,1
43,4
44,2
45,4
46,6
47,4
48,3
49,9
50,6
51,6
52,5
53,6
54,1
55,4
56,8
57,0
58,7
59,7
60,9
61,3
62,3
63,2
64,3
65,9
66,0
67,5
68,3
69,1
70,1
71,2
72,3
73,8
74,6
75,4
76,2
77,6
78,1
79,9
80,2
81,5
82,1
83,3
84,1
85,2
86,3
87,7
88,7
89,7
90,0
91,7
92,1
93,1
94,9
95,5
96,3
97,0
98,5
99,1
100,3
101,3
102,1
103,0
104,0
105,3
106,8
107,8
108,7
109,4
110,7
111,1
112,1
113,3
114,0
115,9
116,1
117,7
118,9
119,4
120,2
121,1
122,3
123,6
124,1
125,2
126,3
127,6
128,6
129,7
130,2
131,1
132,0
133,3
134,8
135,9
136,5
137,9
138,7
139,7
140,6
141,6
142,0
143,4
144,8
145,2
146,2
147,6
148,4
149,6
150,7
151,3
152,7
153,3
154,1
155,1
156,5
157,4
158,1
159,8
160,9
161,8
162,0
163,2
164,9
165,7
166,2
167,1
168,8
169,0
170,4
171,4
172,3
173,0
174,2
175,8
176,3
177,0
178,0
179,3
180,5
181,3
182,2
183,2
184,5
185,9
186,9
187,9
188,1
189,3
190,7
191,0
192,4
193,2
194,7
195,5
196,0
197,7
198,9
199,5
200,3
201,3
202,9
203,4
204,0
205,1
206,3
207,3
208,6
209,8
210,7
211,8
212,9
213,5
214,5
215,8
216,2
217,3
218,3
219,3
220,8
221,7
222,7
223,6
224,1
225,4
226,4
227,0
228,5
229,4
230,9
231,1
232,5
233,3
234,9
235,1
236,6
237,2
238,4
239,2
240,3
241,9
242,4
243,3
244,9
245,6
246,6
247,4
248,1
249,0
250,2
251,2
252,0
253,8
254,2
255,6
256,4
257,3
258,3
259,0
260,2
261,0
262,3
263,3
264,2
265,8
266,3
267,9
268,6
269,8
270,9
271,1
272,2
273,7
274,0
275,5
276,9
277,9
278,1
279,3
280,9
281,9
282,7
283,0
284,1
285,2
286,2
287,4
288,7
289,4
290,8
291,5
292,7
293,0
294,5
295,3
296,4
297,0
298,0
299,1
300,1
301,0
302,7
303,9
304,8
305,7
306,0
307,6
308,0
309,3
310,3
311,7
312,0
313,3
314,7
315,2
316,3
317,7
318,5
319,3
320,1
321,6
322,0
323,9
324,6
325,4
326,3
327,7
328,0
329,4
330,0
331,3
332,6
333,4
334,4
335,3
336,0
337,3
338,1
339,0
340,7
341,4
342,8
343,7
344,3
345,9
346,5
347,3
348,4
349,9
350,5
351,1
352,2
353,1
354,9
355,0
356,9
357,3
358,5
359,0
360,0
361,2
362,4
363,0
364,9
365,7
366,9
367,1
368,3
369,3
370,6
371,9
372,6
373,7
374,1
375,9
376,3
377,9
378,1
379,4
380,2
381,3
382,2
383,0
384,8
385,4
386,0
387,9
388,3
389,3
390,6
391,3
392,9
393,0
394,2
395,3
396,0
397,5
398,7
399,7
400,1
401,4
402,6
403,3
404,0
405,3
406,0
407,3
408,8
409,4
410,2
411,8
412,0
413,9
414,6
415,2
416,0
417,1
418,0
419,1
420,8
421,0
422,3
423,9
424,6
425,8
426,3
427,5
428,8
429,3
430,0
431,6
432,5
433,7
434,9
435,3
436,0
437,7
438,9
439,7
440,7
441,4
442,2
443,3
444,7
445,1
446,4
447,0
448,3
449,3
450,2
451,9
452,1
453,6
454,9
455,3
456,7
457,3
458,3
459,9
460,8
461,0
462,1
463,3
464,3
465,2
466,0
467,7
468,8
469,0
470,9
471,0
472,8
473,3
474,4
475,6
476,7
477,1
478,6
479,6
480,1
481,0
482,4
483,7
484,8
485,2
486,1
487,6
488,6
489,3
490,0
491,2
492,3
493,0
494,0
495,2
496,7
497,6
498,7
499,1
500,2
501,9
502,9
503,7
504,5
505,0
506,3
507,2
508,2
509,2
510,8
511,9
512,8
513,3
514,0
515,0
516,2
517,3
518,3
519,3
520,3
521,2
522,2
523,7
524,9
525,5
526,6
527,6
528,4
529,2
530,0
531,3
532,8
533,5
534,3
535,1
536,6
537,7
538,7
539,4
540,4
541,3
542,0
543,7
544,6
545,7
546,9
547,0
548,8
549,3
550,9
551,1
552,3
553,2
554,9
555,7
556,6
557,1
558,6
559,5
560,1
561,1
562,2
563,2
564,2
565,2
566,9
567,9
568,0
569,8
570,4
571,8
572,0
573,0
574,4
575,3
576,0
577,6
578,0
579,4
580,0
581,4
582,3
583,6
584,7
585,4
586,2
587,3
588,3
589,5
590,4
591,4
592,9
593,7
594,5
595,1
596,9
597,2
598,4
599,6
600,8
601,8
602,0
603,3
604,9
605,0
606,4
607,8
608,2
609,6
610,4
611,0
612,0
613,9
614,0
615,5
616,2
617,6
618,7
619,1
620,1
621,5
622,9
623,5
624,7
625,7
626,6
627,3
628,9
629,3
630,6
631,1
632,1
633,0
634,9
635,8
636,2
637,0
638,9
639,1
640,1
641,9
642,2
643,4
644,3
645,0
646,9
647,3
648,8
649,6
650,4
651,7
652,7
653,0
654,5
655,2
656,8
657,2
658,3
659,5
660,8
661,4
662,7
663,7
664,2
665,5
666,1
667,4
668,6
669,8
670,9
671,8
672,5
673,3
674,4
675,1
676,9
677,5
678,1
679,4
680,3
681,8
682,1
683,2
684,8
685,0
686,7
687,5
688,2
689,4
690,1
691,8
692,9
693,7
694,8
695,8
696,9
697,7
698,7
699,0
700,1
701,3
702,7
703,3
704,3
705,0
706,7
707,0
708,4
709,8
710,3
711,8
712,9
713,2
714,9
715,4
716,3
717,7
718,8
719,0
720,4
721,6
722,9
723,2
724,2
725,6
726,1
727,4
728,1
729,0
730,2
731,4
732,0
733,1
734,0
735,9
736,3
737,4
738,3
739,2
740,0
741,3
742,4
743,3
744,2
745,4
746,2
747,3
748,7
749,6
750,9
751,4
752,6
753,7
754,6
755,0
756,0
757,2
758,8
759,6
760,3
761,9
762,6
763,8
764,3
765,6
766,4
767,3
768,2
769,5
770,3
771,2
772,4
773,9
774,2
775,6
776,0
777,1
778,3
779,8
780,3
781,1
782,9
783,3
784,4
785,9
786,2
787,3
788,1
789,8
790,2
791,1
792,7
793,4
794,3
795,7
796,9
797,5
798,8
799,2
800,4
801,7
802,5
803,7
804,4
805,4
806,7
807,7
808,4
809,2
810,4
811,8
812,9
813,3
814,2
815,9
816,1
817,4
818,9
819,3
820,8
821,2
822,7
823,0
824,9
825,3
826,7
827,6
828,1
829,7
830,0
831,5
832,0
833,4
834,6
835,3
836,1
837,0
838,9
839,8
840,4
841,1
842,6
843,1
844,3
845,1
846,8
847,9
848,9
849,0
850,7
851,3
852,4
853,4
854,8
855,3
856,6
857,3
858,2
859,7
860,9
861,7
862,1
863,8
864,7
865,8
866,1
867,4
868,9
869,3
870,6
871,4
872,2
873,1
874,2
875,3
876,6
877,9
878,4
879,8
880,1
881,6
882,2
883,1
884,0
885,1
886,5
887,5
888,9
889,1
890,1
891,4
892,0
893,0
894,3
895,9
896,3
897,0
898,1
899,9
900,0
901,0
902,1
903,1
904,6
905,5
906,0
907,3
908,6
909,4
910,5
911,4
912,1
913,6
914,7
915,3
916,3
917,2
918,2
919,1
920,7
921,3
922,2
923,3
924,0
925,3
926,9
927,4
928,7
929,4
930,8
931,0
932,7
933,6
934,2
935,2
936,1
937,9
938,7
939,1
940,0
941,7
942,8
943,0
944,6
945,8
946,6
947,4
948,9
949,3
950,3
951,3
952,3
953,7
954,1
955,0
956,3
957,1
958,0
959,0
960,7
961,5
962,9
963,1
964,4
965,0
966,1
967,5
968,2
969,3
970,2
971,5
972,8
973,0
974,9
975,8
976,2
977,7
978,0
979,3
980,6
981,2
982,9
983,7
984,4
985,1
986,3
987,4
988,3
989,9
990,7
991,9
992,2
993,2
994,3
995,3
996,9
997,2
998,0
999,6
1000,3
1001,6
1002,6
1003,4
1004,0
1005,2
1006,3
1007,3
1008,1
1009,3
1010,1
1011,1
1012,7
1013,7
1014,0
1015,4
1016,5
1017,9
1018,6
1019,2
1020,2
1021,1
1022,7
1023,2
1024,3
1025,5
1026,9
1027,1
1028,9
1029,3
1030,0
1031,8
1032,9
1033,2
1034,8
1035,1
1036,0
1037,1
1038,6
1039,8
1040,2
1041,6
1042,3
1043,2
1044,3
1045,0
1046,4
1047,8
1048,6
1049,5
1050,6
1051,7
1052,7
1053,9
1054,2
1055,2
1056,9
1057,3
1058,3
1059,8
1060,3
1061,2
1062,3
1063,0
1064,6
1065,0
1066,6
1067,1
1068,9
1069,6
1070,2
1071,4
1072,3
1073,1
1074,3
1075,3
1076,1
1077,7
1078,0
1079,9
1080,1
1081,3
1082,4
1083,2
1084,1
1085,9
1086,5
1087,7
1088,9
1089,1
1090,6
1091,8
1092,9
1093,4
1094,3
1095,8
1096,4
1097,3
1098,8
1099,8
1100,8
1101,7
1102,5
1103,5
1104,3
1105,4
1106,0
1107,1
1108,1
1109,2
1110,3
1111,6
1112,2
1113,8
1114,0
1115,3
1116,7
1117,0
1118,8
1119,7
1120,8
1121,5
1122,6
1123,3
1124,3
1125,2
1126,1
1127,9
1128,3
1129,1
1130,3
1131,5
1132,7
1133,2
1134,4
1135,8
1136,4
1137,4
1138,8
1139,4
1140,3
1141,3
1142,7
1143,9
1144,8
1145,2
1146,1
1147,4
1148,0
1149,3
1150,2
1151,4
1152,8
1153,9
1154,7
1155,7
1156,9
1157,2
1158,7
1159,3
1160,3
1161,9
1162,4
1163,3
1164,7
1165,4
1166,0
1167,1
1168,1
1169,8
1170,9
1171,1
1172,2
1173,3
1174,9
1175,4
1176,3
1177,0
1178,2
1179,9
1180,1
1181,1
1182,0
1183,8
1184,9
1185,4
1186,9
1187,1
1188,2
1189,9
1190,7
1191,0
1192,3
1193,0
1194,1
1195,8
1196,3
1197,5
1198,9
1199,1
1200,3
1201,6
1202,3
1203,6
